epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,337.279,0.81498,0.90273,1.05623,0.95196,0.88355,0.94643,0.70007,0.92678,0.82456,1.07122,0.00136444,0.00136444,0.00136444
57,343.339,0.86998,1.14592,1.08992,0.92737,0.9014,0.95751,0.72269,0.86095,0.82006,1.04122,0.00135894,0.00135894,0.00135894
58,349.352,0.85313,0.9767,1.08295,0.90262,0.90717,0.91004,0.66376,0.89458,0.89211,1.06284,0.00135344,0.00135344,0.00135344
59,355.34,0.83948,0.93033,1.06427,0.9638,0.8654,0.95075,0.69964,0.92782,0.82266,1.06349,0.00134794,0.00134794,0.00134794
60,361.342,0.81105,1.03575,1.0506,0.95093,0.87029,0.94054,0.66925,0.9611,0.86571,1.07359,0.00134244,0.00134244,0.00134244
61,367.308,0.81158,0.89286,1.03289,0.93463,0.81877,0.92051,0.67352,0.9118,0.94889,1.04565,0.00133693,0.00133693,0.00133693
62,373.294,0.80986,0.91902,1.06049,0.96869,0.86272,0.93555,0.70028,0.84583,0.88438,1.01867,0.00133143,0.00133143,0.00133143
63,379.315,0.84239,0.87383,1.06702,0.9602,0.84134,0.96892,0.73034,0.85411,0.75956,1.03058,0.00132593,0.00132593,0.00132593
64,385.29,0.81972,0.85792,1.0363,0.96652,0.91856,0.95786,0.70909,0.92368,0.76657,1.05725,0.00132043,0.00132043,0.00132043
65,391.296,0.84616,0.82049,1.04526,0.99158,0.92584,0.94919,0.68215,0.98724,0.77025,1.0751,0.00131493,0.00131493,0.00131493
66,397.285,0.78207,0.78766,1.03234,0.99615,0.92778,0.94697,0.71678,0.94071,0.79595,1.05669,0.00130943,0.00130943,0.00130943
67,403.31,0.84372,0.83949,1.05589,0.99668,0.92488,0.96172,0.73701,0.88134,0.75899,1.02201,0.00130393,0.00130393,0.00130393
68,409.288,0.81617,0.78502,1.04452,0.96216,0.92412,0.96598,0.72702,0.9258,0.78171,1.04662,0.00129843,0.00129843,0.00129843
69,415.275,0.84664,0.79556,1.05643,0.95345,0.9,0.96652,0.70952,0.98591,0.86992,1.08747,0.00129293,0.00129293,0.00129293
70,421.259,0.81178,0.84113,1.04504,0.96095,0.88492,0.9691,0.70663,0.9503,0.84678,1.07405,0.00128742,0.00128742,0.00128742
71,427.276,0.81967,0.86834,1.05755,0.8777,0.89677,0.95789,0.71207,0.92039,0.83698,1.05412,0.00128192,0.00128192,0.00128192
72,433.25,0.80223,0.80936,1.01731,0.99392,0.81339,0.95621,0.70855,0.91393,0.83225,1.04819,0.00127642,0.00127642,0.00127642
73,439.245,0.83964,0.84485,1.00655,0.91901,0.91899,0.96049,0.70664,0.99803,0.78662,1.07224,0.00127092,0.00127092,0.00127092
74,445.246,0.80557,0.78511,1.04917,0.88427,0.88333,0.92541,0.69702,0.88269,0.7709,1.02566,0.00126542,0.00126542,0.00126542
75,451.236,0.72264,0.76655,0.99894,0.93149,0.90546,0.93967,0.70706,0.87751,0.7217,1.02571,0.00125992,0.00125992,0.00125992
76,457.324,0.80851,0.76739,1.02378,0.94658,0.91667,0.94901,0.72534,0.88011,0.68922,1.02497,0.00125442,0.00125442,0.00125442
77,463.346,0.72202,0.72764,0.98237,1,0.8853,0.96114,0.73174,0.89356,0.69668,1.02701,0.00124892,0.00124892,0.00124892
78,469.367,0.77791,0.79165,1.03097,0.99222,0.86325,0.97253,0.72699,0.91444,0.70942,1.03417,0.00124342,0.00124342,0.00124342
79,475.342,0.75568,0.69838,1.00488,0.9736,0.88333,0.98173,0.72238,0.95511,0.6967,1.05167,0.00123791,0.00123791,0.00123791
80,481.361,0.8127,0.70487,1.0365,0.97768,0.89555,0.98131,0.71318,0.9636,0.70274,1.06356,0.00123241,0.00123241,0.00123241
81,487.316,0.74503,0.81836,1.00999,0.93538,0.92311,0.98158,0.70398,0.9284,0.73995,1.06669,0.00122691,0.00122691,0.00122691
82,493.339,0.78074,0.67787,1.02387,0.95658,0.86667,0.9723,0.70433,0.90863,0.79785,1.05343,0.00122141,0.00122141,0.00122141
83,499.334,0.79873,0.72452,1.05143,0.95374,0.89942,0.9401,0.70529,0.89215,0.81645,1.03582,0.00121591,0.00121591,0.00121591
84,505.302,0.81043,0.78946,1.04206,0.95013,0.86667,0.93724,0.69646,0.91823,0.80251,1.03506,0.00121041,0.00121041,0.00121041
85,511.336,0.76963,0.70702,1.03305,0.92106,0.87999,0.90513,0.68032,0.89851,0.81771,1.04126,0.00120491,0.00120491,0.00120491
86,517.379,0.78362,0.69814,1.04188,0.94177,0.87336,0.90966,0.68824,0.89471,0.79149,1.04546,0.00119941,0.00119941,0.00119941
87,523.398,0.81258,0.70101,1.0365,0.96908,0.86667,0.92646,0.70872,0.87166,0.74926,1.01688,0.00119391,0.00119391,0.00119391
88,529.401,0.74679,0.87721,1.01371,0.95257,0.8818,0.94936,0.73678,0.86221,0.68483,1.00366,0.0011884,0.0011884,0.0011884
89,535.401,0.80349,0.72008,1.02547,0.9673,0.88898,0.94664,0.71403,0.89424,0.71583,1.0154,0.0011829,0.0011829,0.0011829
90,541.416,0.80427,0.73603,1.03771,0.96795,0.8593,0.94342,0.71596,0.86814,0.78912,1.02119,0.0011774,0.0011774,0.0011774
91,547.412,0.763,0.67781,1.01352,0.99634,0.84648,0.9734,0.7567,0.85463,0.71806,1.01176,0.0011719,0.0011719,0.0011719
92,553.399,0.75356,0.666,1.00935,0.9195,0.97222,0.98688,0.78206,0.85046,0.61546,1.0011,0.0011664,0.0011664,0.0011664
93,559.4,0.76483,0.66295,1.02185,0.98383,0.94076,0.97758,0.75791,0.89693,0.66362,1.02148,0.0011609,0.0011609,0.0011609
94,565.395,0.78586,0.66282,1.04642,0.97715,0.9707,0.97745,0.7505,0.87916,0.64315,1.01964,0.0011554,0.0011554,0.0011554
95,571.385,0.76624,0.69459,1.01738,0.9748,0.92588,0.9645,0.74508,0.85807,0.68356,1.01355,0.0011499,0.0011499,0.0011499
96,577.484,0.76458,0.71013,1.01016,0.96341,0.88876,0.94893,0.69939,0.8746,0.77439,1.03591,0.0011444,0.0011444,0.0011444
97,583.465,0.75945,0.7467,1.00844,0.90636,0.86058,0.94055,0.68311,0.92731,0.98036,1.10453,0.00113889,0.00113889,0.00113889
98,589.472,0.76003,0.73891,1.02565,0.9783,0.84681,0.94819,0.70092,0.92304,0.88923,1.10237,0.00113339,0.00113339,0.00113339
99,595.463,0.78726,0.70326,1.04203,0.95422,0.92778,0.95778,0.72161,0.93667,0.71638,1.09424,0.00112789,0.00112789,0.00112789
100,601.497,0.81919,0.68913,1.05815,0.96254,0.93216,0.96543,0.72556,0.93973,0.69443,1.09023,0.00112239,0.00112239,0.00112239
101,607.455,0.83471,0.79433,1.07882,0.96871,0.93528,0.97104,0.73905,0.8958,0.69547,1.04264,0.00111689,0.00111689,0.00111689
102,613.489,0.75629,0.69221,1.03114,1,0.90072,0.96245,0.74172,0.88037,0.69189,1.02958,0.00111139,0.00111139,0.00111139
103,619.475,0.72883,0.70063,0.98299,0.98053,0.92474,0.95564,0.74839,0.88438,0.67702,1.03513,0.00110589,0.00110589,0.00110589
104,625.463,0.77404,0.69759,1.00607,0.97112,0.90942,0.95254,0.72293,0.93074,0.68405,1.04307,0.00110039,0.00110039,0.00110039
105,631.469,0.76671,0.71498,1.03082,0.97474,0.90731,0.94672,0.71822,0.92148,0.72695,1.03809,0.00109489,0.00109489,0.00109489
106,637.482,0.7662,0.68208,1.02688,0.98263,0.90476,0.94827,0.72527,0.88844,0.68998,1.02682,0.00108938,0.00108938,0.00108938
107,643.511,0.74208,0.65229,1.01531,0.99086,0.86254,0.94942,0.70941,0.88906,0.66816,1.03926,0.00108388,0.00108388,0.00108388
108,649.526,0.72811,0.61361,0.99497,0.96713,0.87965,0.94523,0.68833,0.90058,0.71758,1.05585,0.00107838,0.00107838,0.00107838
109,655.542,0.75898,0.61984,1.02964,1,0.83933,0.94774,0.7087,0.86854,0.73544,1.03935,0.00107288,0.00107288,0.00107288
110,661.523,0.65229,0.61834,0.96663,0.97639,0.85081,0.94764,0.71609,0.85031,0.72406,1.02219,0.00106738,0.00106738,0.00106738
111,667.499,0.70454,0.68585,0.97304,0.9822,0.85425,0.9324,0.70587,0.86372,0.74515,1.01456,0.00106188,0.00106188,0.00106188
112,673.493,0.70309,0.61268,0.99942,0.9616,0.85556,0.93004,0.69069,0.9213,0.7781,1.02754,0.00105638,0.00105638,0.00105638
113,679.488,0.70957,0.63671,0.9924,0.97155,0.85153,0.94615,0.69682,0.92944,0.73029,1.0412,0.00105088,0.00105088,0.00105088
114,685.432,0.72367,0.69514,0.97689,0.96547,0.88333,0.95152,0.71163,0.89816,0.64551,1.03827,0.00104538,0.00104538,0.00104538
115,691.527,0.72197,0.60818,1.01708,0.9534,0.91959,0.94744,0.71304,0.9141,0.66908,1.05522,0.00103987,0.00103987,0.00103987
116,697.522,0.71023,0.6183,0.99259,0.93248,0.89503,0.93589,0.68858,0.98732,0.72897,1.07259,0.00103437,0.00103437,0.00103437
117,703.498,0.76979,0.60665,1.02772,0.95652,0.92306,0.94732,0.677,1.00371,0.70424,1.0586,0.00102887,0.00102887,0.00102887
118,709.538,0.7527,0.64264,1.03896,0.97328,0.92778,0.94627,0.69455,0.99034,0.68574,1.05803,0.00102337,0.00102337,0.00102337
119,715.509,0.65694,0.55904,0.9485,0.97812,0.92665,0.94434,0.72743,0.93181,0.69199,1.0442,0.00101787,0.00101787,0.00101787
120,721.531,0.78115,0.64619,1.04343,0.94982,0.92668,0.93856,0.72122,0.90584,0.67683,1.03271,0.00101237,0.00101237,0.00101237
121,727.498,0.76532,0.70196,1.03551,0.94309,0.92509,0.94006,0.71052,0.926,0.69707,1.02569,0.00100687,0.00100687,0.00100687
122,733.521,0.74233,0.59324,0.99566,0.93706,0.91867,0.95182,0.72997,0.86681,0.67774,1.01098,0.00100137,0.00100137,0.00100137
123,739.503,0.74677,0.59405,1.00906,0.98564,0.90863,0.95951,0.75146,0.86869,0.65645,1.00823,0.000995866,0.000995866,0.000995866
124,745.497,0.68675,0.5536,0.99486,0.97521,0.91339,0.97062,0.7612,0.84758,0.62109,0.99228,0.000990365,0.000990365,0.000990365
125,751.549,0.73014,0.63906,1.02366,0.96552,0.90388,0.9682,0.74481,0.86247,0.6417,0.99921,0.000984864,0.000984864,0.000984864
126,757.538,0.69246,0.70732,0.98159,0.96458,0.90736,0.9719,0.7471,0.8392,0.61806,0.99467,0.000979362,0.000979362,0.000979362
127,763.517,0.70783,0.58629,0.98448,0.95744,0.91111,0.96876,0.75634,0.8436,0.61986,0.9955,0.000973861,0.000973861,0.000973861
128,769.548,0.73559,0.58979,1.00066,0.91631,0.9424,0.97024,0.72805,0.9037,0.65604,1.02827,0.00096836,0.00096836,0.00096836
129,775.564,0.75059,0.65229,1.01241,0.93046,0.92222,0.96688,0.71804,0.90828,0.68799,1.03711,0.000962859,0.000962859,0.000962859
130,781.598,0.6909,0.60341,1.00242,0.92536,0.95549,0.96864,0.72657,0.89739,0.65356,1.03299,0.000957358,0.000957358,0.000957358
131,787.59,0.68435,0.56022,0.96944,0.955,0.91111,0.96956,0.73303,0.8752,0.63229,1.02561,0.000951857,0.000951857,0.000951857
132,793.662,0.72132,0.58091,1.00834,0.98962,0.89769,0.97159,0.73849,0.85844,0.5946,1.0204,0.000946356,0.000946356,0.000946356
133,799.662,0.696,0.56921,0.97486,1,0.91638,0.9666,0.73754,0.83252,0.58224,1.00612,0.000940855,0.000940855,0.000940855
134,805.706,0.70466,0.55154,0.98655,0.98998,0.89731,0.96564,0.73954,0.86538,0.59777,1.01088,0.000935354,0.000935354,0.000935354
135,811.806,0.72263,0.5255,0.98405,0.99545,0.9,0.9602,0.74284,0.87522,0.62646,1.00667,0.000929853,0.000929853,0.000929853
136,817.739,0.70168,0.60944,1.01753,0.99408,0.89843,0.95235,0.73205,0.85762,0.6244,0.99721,0.000924352,0.000924352,0.000924352
137,823.81,0.71391,0.58234,0.98475,0.97678,0.89764,0.9493,0.73931,0.83993,0.61369,0.99204,0.00091885,0.00091885,0.00091885
138,829.813,0.74411,0.57412,1.00537,0.98311,0.91937,0.96651,0.74051,0.87869,0.60475,0.99857,0.000913349,0.000913349,0.000913349
139,835.791,0.68857,0.53302,0.9754,0.99673,0.90232,0.97672,0.75459,0.85809,0.57568,0.99141,0.000907848,0.000907848,0.000907848
140,841.793,0.67958,0.54623,0.93553,0.95406,0.93551,0.97636,0.7497,0.83239,0.57033,0.98721,0.000902347,0.000902347,0.000902347
141,847.754,0.70112,0.61601,0.99388,0.99185,0.87854,0.96484,0.75808,0.81715,0.60219,0.99106,0.000896846,0.000896846,0.000896846
142,853.774,0.709,0.57919,0.99815,0.98961,0.87994,0.95712,0.74796,0.81279,0.6148,0.99835,0.000891345,0.000891345,0.000891345
143,859.823,0.70193,0.54949,0.98373,0.98768,0.8804,0.95459,0.73856,0.83646,0.63309,1.01339,0.000885844,0.000885844,0.000885844
144,865.837,0.70682,0.57694,0.98199,0.98497,0.8795,0.9525,0.73639,0.84201,0.63437,1.01336,0.000880343,0.000880343,0.000880343
145,871.832,0.70694,0.59199,0.96573,0.9847,0.88333,0.96345,0.75482,0.83438,0.6065,1.00006,0.000874842,0.000874842,0.000874842
146,877.833,0.72391,0.61837,0.99587,0.95169,0.91667,0.97378,0.77825,0.81876,0.57059,0.98869,0.00086934,0.00086934,0.00086934
147,883.826,0.61763,0.53239,0.97882,0.95836,0.91667,0.97625,0.78009,0.79987,0.56337,0.97983,0.000863839,0.000863839,0.000863839
148,889.84,0.66159,0.55991,0.97451,0.94643,0.94194,0.96899,0.78126,0.7809,0.56341,0.9792,0.000858338,0.000858338,0.000858338
149,895.83,0.63748,0.49536,0.96082,0.94548,0.94174,0.95294,0.75851,0.77541,0.59126,0.97935,0.000852837,0.000852837,0.000852837
150,901.845,0.66123,0.55153,0.95933,0.95444,0.9419,0.94759,0.74042,0.84662,0.62693,1.00055,0.000847336,0.000847336,0.000847336
151,907.909,0.72041,0.5497,0.98628,0.94522,0.94165,0.94731,0.73747,0.87829,0.61909,1.01117,0.000841835,0.000841835,0.000841835
152,913.907,0.64046,0.51521,0.95993,0.93861,0.91666,0.94631,0.74592,0.84859,0.62924,0.99819,0.000836334,0.000836334,0.000836334
153,919.935,0.67571,0.51373,0.97547,0.94624,0.91637,0.94776,0.75659,0.81829,0.61788,0.98917,0.000830833,0.000830833,0.000830833
154,925.937,0.615,0.49722,0.93797,0.97766,0.87994,0.95267,0.73106,0.90042,0.60673,1.00965,0.000825332,0.000825332,0.000825332
155,931.984,0.65036,0.51542,0.96542,0.97547,0.87507,0.94384,0.7172,0.93394,0.64032,1.02274,0.000819831,0.000819831,0.000819831
156,938.062,0.66776,0.5135,0.96444,0.9491,0.88333,0.94608,0.71979,0.89721,0.63015,1.01259,0.000814329,0.000814329,0.000814329
157,944.034,0.62987,0.54072,0.95382,0.93878,0.88057,0.93431,0.72304,0.81784,0.63001,0.99505,0.000808828,0.000808828,0.000808828
158,950.027,0.66137,0.50283,0.94147,0.98758,0.86238,0.92798,0.72049,0.83238,0.64832,1.00925,0.000803327,0.000803327,0.000803327
159,955.992,0.61464,0.49371,0.94159,0.98482,0.88333,0.92398,0.71395,0.85234,0.66703,1.01148,0.000797826,0.000797826,0.000797826
160,961.999,0.64982,0.51248,0.97648,1,0.84803,0.9222,0.7132,0.87322,0.66,1.01534,0.000792325,0.000792325,0.000792325
161,967.983,0.58777,0.47269,0.95344,0.9762,0.88333,0.93287,0.7098,0.87689,0.61965,1.01469,0.000786824,0.000786824,0.000786824
162,973.962,0.6143,0.49831,0.95071,0.98537,0.88178,0.93472,0.71576,0.85509,0.60464,1.01287,0.000781323,0.000781323,0.000781323
163,980.007,0.62597,0.46906,0.97131,0.97807,0.89957,0.93969,0.73587,0.85259,0.61206,1.01337,0.000775822,0.000775822,0.000775822
164,985.985,0.54867,0.46765,0.88766,0.97606,0.89883,0.93393,0.74149,0.84133,0.62408,1.0068,0.000770321,0.000770321,0.000770321
165,992.218,0.64321,0.51115,0.97373,0.98796,0.88333,0.93255,0.73341,0.81071,0.62481,1.00169,0.00076482,0.00076482,0.00076482
166,998.571,0.60066,0.48734,0.95226,0.99724,0.88329,0.92812,0.74272,0.8157,0.61387,1.00146,0.000759318,0.000759318,0.000759318
167,1004.6,0.59384,0.49382,0.93433,0.99081,0.88149,0.93465,0.73933,0.83122,0.61241,1.00107,0.000753817,0.000753817,0.000753817
168,1010.64,0.632,0.4816,0.95296,0.99726,0.88333,0.93433,0.72805,0.80459,0.59418,0.99406,0.000748316,0.000748316,0.000748316
169,1016.69,0.63044,0.49549,0.95825,0.96274,0.89873,0.94011,0.73973,0.81132,0.57803,0.99603,0.000742815,0.000742815,0.000742815
170,1022.7,0.62531,0.48783,0.99038,0.98147,0.88013,0.9597,0.74269,0.83102,0.58363,0.99472,0.000737314,0.000737314,0.000737314
171,1028.74,0.65662,0.50657,0.9824,0.94298,0.92764,0.97325,0.75026,0.84099,0.56461,0.99514,0.000731813,0.000731813,0.000731813
172,1034.77,0.58538,0.43455,0.92458,0.99971,0.91089,0.97749,0.76407,0.82522,0.5684,0.99254,0.000726312,0.000726312,0.000726312
173,1040.8,0.61841,0.48574,0.99086,1,0.91187,0.97624,0.75893,0.83925,0.58002,0.99519,0.000720811,0.000720811,0.000720811
174,1046.82,0.59387,0.46037,0.935,0.97888,0.90879,0.96881,0.77217,0.85082,0.59358,0.99296,0.00071531,0.00071531,0.00071531
175,1052.84,0.59202,0.47791,0.95551,0.96032,0.92778,0.96802,0.76329,0.8421,0.59781,0.98957,0.000709809,0.000709809,0.000709809
176,1058.97,0.59541,0.47954,0.94343,0.97936,0.92778,0.96234,0.77986,0.79395,0.55096,0.98067,0.000704307,0.000704307,0.000704307
177,1065,0.61766,0.47382,0.96165,0.98889,0.93978,0.97051,0.78083,0.80354,0.52533,0.98667,0.000698806,0.000698806,0.000698806
178,1071.05,0.61026,0.5119,0.95412,0.9908,0.92492,0.9663,0.76232,0.84014,0.52828,0.99299,0.000693305,0.000693305,0.000693305
179,1077.09,0.61723,0.47135,0.97257,0.99817,0.92542,0.9658,0.75782,0.89833,0.54679,1.01502,0.000687804,0.000687804,0.000687804
180,1083.14,0.61846,0.47603,0.92947,0.97797,0.93953,0.96002,0.72924,0.93117,0.58695,1.02496,0.000682303,0.000682303,0.000682303
181,1089.14,0.58988,0.45491,0.94964,0.99638,0.86667,0.95027,0.72818,0.89671,0.61027,1.01173,0.000676802,0.000676802,0.000676802
182,1095.18,0.57417,0.45262,0.92604,0.99362,0.88115,0.95266,0.75352,0.87574,0.59084,0.99997,0.000671301,0.000671301,0.000671301
183,1101.29,0.63678,0.47452,0.95623,0.95365,0.89556,0.95791,0.7491,0.86339,0.56253,0.99872,0.0006658,0.0006658,0.0006658
184,1107.27,0.63572,0.45764,0.95063,0.97777,0.88321,0.9456,0.74118,0.86448,0.5689,1.00204,0.000660299,0.000660299,0.000660299
